address	length	value
0043c574	11	AppendMenuA
0043c582	10	RemoveMenu
0043c590	11	ModifyMenuA
0043c59e	8	SetTimer
0043c5aa	9	KillTimer
0043c5b6	14	DdeNameService
0043c5c8	14	DdeInitializeA
0043c5da	15	DdeUninitialize
0043c5ec	22	DdeCreateStringHandleA
0043c606	15	DdeQueryStringA
0043c618	19	DdeFreeStringHandle
0043c62e	19	DdeCreateDataHandle
0043c644	13	DdeDisconnect
0043c654	15	DdeUnaccessData
0043c666	13	DdeAccessData
0043c676	12	SendMessageA
0043c686	16	GetSystemMetrics
0043c69a	8	IsIconic
0043c6a6	11	DrawMenuBar
0043c6b4	10	DeleteMenu
0043c6c2	11	LoadBitmapA
0043c6d0	8	FillRect
0043c6dc	14	ScreenToClient
0043c6ee	19	SetForegroundWindow
0043c702	10	USER32.dll
0043c710	12	DeleteObject
0043c720	14	RealizePalette
0043c732	13	SelectPalette
0043c742	8	GdiFlush
0043c74e	6	LineTo
0043c758	8	MoveToEx
0043c764	9	CreatePen
0043c770	8	DeleteDC
0043c77c	12	SelectObject
0043c78c	17	GetPaletteEntries
0043c7a0	23	GetSystemPaletteEntries
0043c7ba	13	CreatePalette
0043c7ca	10	GetObjectA
0043c7d8	6	BitBlt
0043c7e2	18	CreateCompatibleDC
0043c7f8	14	GetStockObject
0043c80a	19	CreateFontIndirectA
0043c81e	9	GDI32.dll
0043c82a	15	RegCreateKeyExA
0043c83c	11	RegCloseKey
0043c84a	16	RegQueryValueExA
0043c85e	14	RegSetValueExA
0043c870	13	RegOpenKeyExA
0043c87e	12	ADVAPI32.dll
0043c88e	13	ShellExecuteA
0043c89c	11	SHELL32.dll
0043c8aa	8	_stricmp
0043c8b6	8	_setmbcp
0043f88e	15	VS_VERSION_INFO
0043f8ea	14	StringFileInfo
0043f90e	8	040904b0
0043f926	11	CompanyName
0043f946	15	FileDescription
0043f968	37	SMALL FURRY CREATURES MFC Application
0043f9ba	11	FileVersion
0043f9d4	10	1, 0, 0, 1
0043f9f2	12	InternalName
0043fa0c	21	SMALL FURRY CREATURES
0043fa3e	14	LegalCopyright
0043fa5c	16	Copyright © 1995
0043fa86	16	OriginalFilename
0043faa8	25	SMALL FURRY CREATURES.EXE
0043fae2	11	ProductName
0043fafc	33	SMALL FURRY CREATURES Application
0043fb46	14	ProductVersion
0043fb64	10	1, 0, 0, 1
0043fb82	11	VarFileInfo
0043fba2	11	Translation
004417c0	0	
004417c2	0	
004417c4	0	
004417c6	0	
004417c8	85	OLE initialization failed.  Make sure that the OLE libraries are the correct version.
00441874	0	
00441876	0	
00441878	0	
0044187a	38	Windows sockets initialization failed.
004418c8	11	Handy hints
004418e0	0	
004418e2	26	Displays a Tip of the Day.
00441918	18	Ti&p of the Day...
0044193e	15	Did you know...
0044195e	52	Tips file does not exist in the prescribed directory
004419c8	29	Trouble reading the tips file
00441a04	71	Creatures\n\nSFC\nWorld Files (*.sfc)\n.SFC\nCreatures.Document\nSFC Document
00441a94	0	
00441a96	0	
00441a98	0	
00441a9a	0	
00441a9c	0	
00441a9e	0	
00441aa0	0	
00441aa2	0	
00441aa4	0	
00441aa6	0	
00441aa8	0	
00441aaa	0	
00441aac	0	
00441aae	0	
00441ab0	0	
00441ab4	9	Creatures
00441ac8	18	For Help, press F1
00441aee	37	Select an object on which to get Help
00441b3a	0	
00441b3c	0	
00441b3e	0	
00441b40	0	
00441b42	0	
00441b44	0	
00441b46	0	
00441b48	0	
00441b4a	0	
00441b4c	0	
00441b4e	0	
00441b50	0	
00441b52	0	
00441b54	3	EXT
00441b5c	3	CAP
00441b64	3	NUM
00441b6c	4	SCRL
00441b76	3	OVR
00441b7e	3	REC
00441b86	0	
00441b88	0	
00441b8a	0	
00441b8c	0	
00441b8e	0	
00441b90	0	
00441b92	0	
00441b94	0	
00441b96	0	
00441b98	0	
00441b9c	25	Create a new document\nNew
00441bd0	27	Open an existing world\nOpen
00441c08	31	Close the active document\nClose
00441c48	26	Save the active world\nSave
00441c7e	45	Save the active world with a new name\nSave As
00441cda	0	
00441cdc	0	
00441cde	0	
00441ce0	0	
00441ce2	0	
00441ce4	0	
00441ce6	0	
00441ce8	58	Send the active document through electronic mail\nSend Mail
00441d5e	0	
00441d60	0	
00441d62	0	
00441d64	63	Display program information, version number and copyright\nAbout
00441de4	25	Quit the application\nExit
00441e18	22	Opens Help\nHelp Topics
00441e46	28	List Help topics\nHelp Topics
00441e80	47	Display instructions about how to use help\nHelp
00441ee0	59	Display help for clicked on buttons, menus and windows\nHelp
00441f58	45	Display help for current task or command\nHelp
00441fb4	0	
00441fb6	0	
00441fb8	0	
00441fba	0	
00441fbc	0	
00441fbe	0	
00441fc0	0	
00441fc2	0	
00441fc4	0	
00441fc8	18	Open this document
00441fee	18	Open this document
00442014	18	Open this document
0044203a	18	Open this document
00442060	18	Open this document
00442086	18	Open this document
004420ac	18	Open this document
004420d2	18	Open this document
004420f8	18	Open this document
0044211e	18	Open this document
00442144	18	Open this document
0044216a	18	Open this document
00442190	18	Open this document
004421b6	18	Open this document
004421dc	18	Open this document
00442202	18	Open this document
00442228	40	Switch to the next window pane\nNext Pane
0044227a	53	Switch back to the previous window pane\nPrevious Pane
004422e6	0	
004422e8	0	
004422ea	0	
004422ec	0	
004422ee	0	
004422f0	0	
004422f2	0	
004422f4	0	
004422f6	0	
004422f8	0	
004422fa	0	
004422fc	0	
004422fe	0	
00442300	0	
00442304	0	
00442306	0	
00442308	0	
0044230a	0	
0044230c	0	
0044230e	40	Split the active window into panes\nSplit
00442360	0	
00442362	0	
00442364	0	
00442366	0	
00442368	0	
0044236a	0	
0044236c	0	
0044236e	0	
00442370	0	
00442372	0	
00442374	25	Erase the selection\nErase
004423a8	26	Erase everything\nErase All
004423de	51	Copy the selection and put it on the Clipboard\nCopy
00442446	49	Cut the selection and put it on the Clipboard\nCut
004424aa	28	Find the specified text\nFind
004424e4	31	Insert Clipboard contents\nPaste
00442524	0	
00442526	0	
00442528	29	Repeat the last action\nRepeat
00442564	49	Replace specific text with different text\nReplace
004425c8	37	Select the entire document\nSelect All
00442614	25	Undo the last action\nUndo
00442648	38	Redo the previously undone action\nRedo
00442696	0	
00442698	0	
0044269a	0	
0044269c	39	Show or hide the toolbar\nToggle ToolBar
004426ec	44	Show or hide the status bar\nToggle StatusBar
00442746	66	Click this button to speak the contents of the edit box\nSpeak text
004427cc	64	Type what you want to say, then click the SAY button\nEdit speech
0044284e	0	
00442850	0	
00442852	0	
00442854	0	
00442856	0	
00442858	0	
0044285a	0	
0044285c	0	
0044285e	0	
00442860	0	
00442862	0	
00442864	0	
00442868	22	Change the window size
